cache_state,endpoint_id,latency_observation_count,latency_p50_seconds,prefill_headline_eligible,prefill_proxy_observation_count,prefill_proxy_p50_tokens_per_second,request_count,sampling_unit,ttft_observation_count,ttft_p50_ci95,ttft_p50_seconds,ttft_p95_seconds,workload
not_reported_unknown,deepseek-v4-flash-0731,184,0.46745381198707037,False,0,,184,request_id,183,"{""bootstrap_replicates"":2000,""ci95_high"":0.4288642799947411,""ci95_low"":0.3929613869986497,""estimate"":0.4132802410167642,""n_units"":183,""qualified"":true,""sampling_unit"":""request_id""}",0.4132802410167642,0.7076240099850111,direct_short_exact
not_reported_unknown,deepseek-v4-flash-0731,220,28.993172075017355,False,0,,220,request_id,220,"{""bootstrap_replicates"":2000,""ci95_high"":0.4865860340069048,""ci95_low"":0.4562792009965051,""estimate"":0.4705927159811836,""n_units"":220,""qualified"":true,""sampling_unit"":""request_id""}",0.4705927159811836,0.8002397400268819,direct_short_long
cache_miss_observed,deepseek-v4-flash-0731,74,1.62911901800544,True,74,21874.34938549919,74,request_id,74,"{""bootstrap_replicates"":2000,""ci95_high"":1.0151656410016585,""ci95_low"":0.9812877519871108,""estimate"":0.996154538996052,""n_units"":74,""qualified"":true,""sampling_unit"":""request_id""}",0.996154538996052,1.4196993339865003,input32k_short
not_reported_unknown,deepseek-v4-flash-0731,89,1.275101203005761,False,0,,89,request_id,89,"{""bootstrap_replicates"":2000,""ci95_high"":0.8956306529871654,""ci95_low"":0.8002681799989659,""estimate"":0.8432588120049331,""n_units"":89,""qualified"":true,""sampling_unit"":""request_id""}",0.8432588120049331,1.2809378799865954,input32k_short
not_reported_unknown,deepseek-v4-flash-0731,36,1.2712697139941156,False,0,,45,request_id,36,"{""bootstrap_replicates"":2000,""ci95_high"":1.9184305790113285,""ci95_low"":0.6682668770081364,""estimate"":1.0137440759863239,""n_units"":36,""qualified"":true,""sampling_unit"":""request_id""}",1.0137440759863239,6.394986911007436,long_context_retrieval
cache_miss_observed,deepseek-v4-flash-0731,22,0.6806291109824087,True,22,115.50359715265569,22,request_id,22,"{""bootstrap_replicates"":2000,""ci95_high"":0.5854822010151111,""ci95_low"":0.43556850001914427,""estimate"":0.5098307270091027,""n_units"":22,""qualified"":true,""sampling_unit"":""request_id""}",0.5098307270091027,0.6976997460005805,mixed
not_reported_unknown,deepseek-v4-flash-0731,69,0.7638545559893828,False,0,,69,request_id,69,"{""bootstrap_replicates"":2000,""ci95_high"":0.46150148499873467,""ci95_low"":0.4175100619904697,""estimate"":0.4357392579840962,""n_units"":69,""qualified"":true,""sampling_unit"":""request_id""}",0.4357392579840962,0.9918705070158467,mixed
not_reported_unknown,deepseek-v4-flash-0731,5,0.46804673899896443,False,0,,5,request_id,2,"{""bootstrap_replicates"":2000,""ci95_high"":0.43521342598251067,""ci95_low"":0.40903103901655413,""estimate"":0.40903103901655413,""n_units"":2,""qualified"":true,""sampling_unit"":""request_id""}",0.40903103901655413,0.43521342598251067,output_length
not_reported_unknown,deepseek-v4-flash-0731,37,0.6878520960162859,False,0,,37,request_id,30,"{""bootstrap_replicates"":2000,""ci95_high"":0.5930389460118022,""ci95_low"":0.38494605899904855,""estimate"":0.4439110049861483,""n_units"":30,""qualified"":true,""sampling_unit"":""request_id""}",0.4439110049861483,1.7823140239925124,parameter_interactions
not_reported_unknown,deepseek-v4-flash-0731,24,0.4660078900051303,False,0,,25,request_id,22,"{""bootstrap_replicates"":2000,""ci95_high"":0.450162758002989,""ci95_low"":0.3819593630032614,""estimate"":0.41024752298835665,""n_units"":22,""qualified"":true,""sampling_unit"":""request_id""}",0.41024752298835665,1.54779408001923,parameter_validation
not_reported_unknown,deepseek-v4-flash-0731,3,1.4212739219947252,False,0,,3,request_id,3,"{""bootstrap_replicates"":2000,""ci95_high"":1.6838409110205248,""ci95_low"":0.390100409014849,""estimate"":0.47083140100585297,""n_units"":3,""qualified"":true,""sampling_unit"":""request_id""}",0.47083140100585297,1.6838409110205248,reasoning
not_reported_unknown,deepseek-v4-flash-0731,9,0.5974909799988382,False,0,,9,request_id,9,"{""bootstrap_replicates"":2000,""ci95_high"":1.6727578630088829,""ci95_low"":0.4334490619949065,""estimate"":0.556064943986712,""n_units"":9,""qualified"":true,""sampling_unit"":""request_id""}",0.556064943986712,1.8007693120162003,short_exact
cache_miss_observed,deepseek-v4-flash-0731,52,26.61620165099157,True,52,163.50076037456878,52,request_id,52,"{""bootstrap_replicates"":2000,""ci95_high"":0.5173718789883424,""ci95_low"":0.40949250300764106,""estimate"":0.4390933269751258,""n_units"":52,""qualified"":true,""sampling_unit"":""request_id""}",0.4390933269751258,0.7837905419874005,short_long
not_reported_unknown,deepseek-v4-flash-0731,49,27.02453334600432,False,0,,49,request_id,49,"{""bootstrap_replicates"":2000,""ci95_high"":0.49462717000278644,""ci95_low"":0.39113024101243354,""estimate"":0.4272015040041879,""n_units"":49,""qualified"":true,""sampling_unit"":""request_id""}",0.4272015040041879,0.7746717870177235,short_long
cache_miss_observed,deepseek-v4-flash-0731,2373,0.48742074298206717,True,2373,115.9195302553527,2373,request_id,2373,"{""bootstrap_replicates"":2000,""ci95_high"":0.4114827690063976,""ci95_low"":0.40747302197269164,""estimate"":0.409819038992282,""n_units"":2373,""qualified"":true,""sampling_unit"":""request_id""}",0.409819038992282,0.633169768989319,short_short
not_reported_unknown,deepseek-v4-flash-0731,683,0.48316177699598484,False,0,,683,request_id,683,"{""bootstrap_replicates"":2000,""ci95_high"":0.41519264099770226,""ci95_low"":0.3983897110156249,""estimate"":0.4085017329780385,""n_units"":683,""qualified"":true,""sampling_unit"":""request_id""}",0.4085017329780385,0.6989402999752201,short_short
not_reported_unknown,deepseek-v4-flash-0731,3,0.7454454880207777,False,0,,3,request_id,3,"{""bootstrap_replicates"":2000,""ci95_high"":0.5763447319914121,""ci95_low"":0.3977643830003217,""estimate"":0.464933158014901,""n_units"":3,""qualified"":true,""sampling_unit"":""request_id""}",0.464933158014901,0.5763447319914121,structured_json
not_reported_unknown,deepseek-v4-flash-0731,3,1.198641653987579,False,0,,3,request_id,3,"{""bootstrap_replicates"":2000,""ci95_high"":1.5472149190027267,""ci95_low"":0.3730215859832242,""estimate"":0.4267703689984046,""n_units"":3,""qualified"":true,""sampling_unit"":""request_id""}",0.4267703689984046,1.5472149190027267,structured_output
not_reported_unknown,deepseek-v4-flash-0731,3,0.9429987240000628,False,0,,3,request_id,3,"{""bootstrap_replicates"":2000,""ci95_high"":0.605871137988288,""ci95_low"":0.4702622659970075,""estimate"":0.4963532719993964,""n_units"":3,""qualified"":true,""sampling_unit"":""request_id""}",0.4963532719993964,0.605871137988288,summarization
not_reported_unknown,deepseek-v4-flash-0731,24,1.8687882070080377,False,0,,24,request_id,24,"{""bootstrap_replicates"":2000,""ci95_high"":0.8152817350055557,""ci95_low"":0.6216791289916728,""estimate"":0.6894484430085868,""n_units"":24,""qualified"":true,""sampling_unit"":""request_id""}",0.6894484430085868,0.9740079960029107,tool_call_exact
not_reported_unknown,deepseek-v4-flash-0731,4,1.0719571629888378,False,0,,4,request_id,4,"{""bootstrap_replicates"":2000,""ci95_high"":0.7199070820061024,""ci95_low"":0.6271362970001064,""estimate"":0.6566844549961388,""n_units"":4,""qualified"":true,""sampling_unit"":""request_id""}",0.6566844549961388,0.7199070820061024,tool_calling
not_reported_unknown,deepseek-v4-flash-0731,1,0.31481695800903253,False,0,,1,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,vision
not_reported_unknown,gemma-4-31B-it,1,1.3525650629890151,False,0,,1,request_id,1,"{""bootstrap_replicates"":2000,""ci95_high"":0.8030776029918343,""ci95_low"":0.8030776029918343,""estimate"":0.8030776029918343,""n_units"":1,""qualified"":true,""sampling_unit"":""request_id""}",0.8030776029918343,0.8030776029918343,capability_smoke
