cell_id,claim_scope,completed_request_rows,effective_input_tpm,effective_output_tpm,endpoint_id,latency_p50_seconds,latency_p95_ci95_dkw_seconds,latency_p95_seconds,offered_rps_realized_schedule,offered_rps_target,phase,phase_id,predeclared_recovery_pass,provider_send_attempts,quality_delta_from_low_load,quality_pass_rate,quality_pass_rate_ci95_wilson,quality_passes,recovery_acceptance_reasons,sampling_unit,scheduled_requests,schema_version,shape,source_id,source_kind,status,success_rate,success_rate_ci95_wilson,successes,successful_rpm,ttft_p50_seconds,ttft_p95_ci95_dkw_seconds,ttft_p95_seconds,within_phase_binomial_interval_sampling_unit
do-soak-cell-3bc928433fec3a6ecbcb,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",1,50364.0,128.0,nemotron-3-ultra-550b,3.322980403987458,"[3.322980403987458,3.322980403987458]",3.322980403987458,0.03333333333333333,0.05,post_soak_recovery,do-soak-phase-77a94668e44a2336177d,False,1,0.0,0.0,"[0.0,0.7934506856227626]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,1,digitalocean_public_soak_recovery_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete,1.0,"[0.20654931437723745,1.0]",1,2.0,2.2245341620000545,"[2.2245341620000545,2.2245341620000545]",2.2245341620000545,request_id
do-soak-cell-57b086af1407bd1c33f0,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",6,263194.0,768.0,openai-gpt-oss-120b,3.1403033585083904,"[3.1323928447558953,4.412285358004738]",4.146056575998955,0.2,0.2,post_soak_recovery,do-soak-phase-a3f80f8876ca9e628c74,False,6,0.0,0.0,"[2.7755575615628914e-17,0.3903342879021653]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,6,digitalocean_public_soak_recovery_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete,1.0,"[0.6096657120978346,1.0]",6,12.0,1.5394207080098568,"[1.5107538382834358,2.6412698260101024]",2.4036533150065225,request_id
do-soak-cell-ea1ee1a289d6d9345296,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",60,14198.74543172878,6031.442581555716,openai-gpt-oss-120b,2.2304554315051064,"[2.6699540744137207,7.60981878900202]",3.3280783843423674,2.0,2.0,post_soak_recovery,do-soak-phase-5dec66d9f07d78300c1b,False,60,0.2666666666666667,0.7666666666666667,"[0.6456372962239805,0.8556043826335717]",46,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,60,digitalocean_public_soak_recovery_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete,1.0,"[0.93982814785791,0.9999999999999998]",60,113.4085098380893,0.4910692804842256,"[0.6821983857826248,2.6827855620067567]",1.3023336813974304,request_id
do-soak-cell-1bbd11c0d34c7a447407,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",240,31399.833104302383,1893.695174025021,deepseek-v4-flash-0731,0.4789935595035786,"[1.3771770826268734,3.8791343530174345]",2.127737979644735,8.0,8.0,post_soak_recovery,do-soak-phase-24153926afea09aeeff3,False,240,0.0,1.0,"[0.9842460800584412,1.0]",240,"[""recovery_latency_p95_above_2x_low_load""]",phase_id,240,digitalocean_public_soak_recovery_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete,1.0,"[0.9842460800584412,1.0]",240,473.42379350625527,0.40076807999867015,"[0.8355190563830466,3.087603210005909]",1.1363318248419079,request_id
do-soak-cell-28f94ac5d4a61bca7fa1,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",60,8950.788610111418,5963.051398825095,minimax-m2.5,1.650812099003815,"[3.70031952499908,10.281563272001222]",7.9749555086906145,2.0,2.0,post_soak_recovery,do-soak-phase-53dd58632da2d65f8329,False,60,0.0,0.0,"[0.0,0.06017185214208986]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,60,digitalocean_public_soak_recovery_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete,1.0,"[0.93982814785791,0.9999999999999998]",60,93.17267810664211,0.45416807899891865,"[0.730530907438848,1.612422227015486]",1.1233626642700978,request_id
do-soak-cell-96100beb9f1d35ce57b7,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",15,3398.0,1720.0,kimi-k3,2.3475167419819627,"[2.583313981004521,3.5044571649923455]",3.406440367788309,0.5,0.5,post_soak_recovery,do-soak-phase-e6d90cad1729214c3103,False,15,-0.09999999999999998,0.4,"[0.1982449614134158,0.6425316987937539]",6,"[""recovery_deterministic_quality_pass_rate_below_1.0"",""recovery_quality_drop_from_low_load_above_0.05""]",phase_id,15,digitalocean_public_soak_recovery_summary_v1,short_short,do-direct-soak-20260823-r1,direct_soak,complete,1.0,"[0.7961166989641515,1.0]",15,30.0,0.563434956013225,"[0.5671400738962611,0.7202337619964965]",0.6551098793919663,request_id
do-soak-cell-eb5a5647ad35ebaa2e71,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",15,,,nemotron-3-ultra-550b,23.6498075099953,"[26.955369604136727,29.921932817989727]",29.80197557780484,0.5,0.5,post_soak_recovery,do-soak-phase-2a5d198d0064b781cdf3,False,15,0.0,0.0,"[0.0,0.20388330103584862]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,15,digitalocean_public_soak_recovery_summary_v1,short_long,do-direct-soak-20260823-r1,direct_soak,complete,1.0,"[0.7961166989641515,1.0]",15,16.49146038585707,0.5080849649966694,"[0.5154713883734818,0.8491462449892424]",0.822450878410018,request_id
do-soak-cell-6d3984e45b9fab8915e0,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",6,595.6392660105068,13579.249166488142,minimax-m2.5,30.315687461508787,"[30.29308009650095,30.828683302999707]",30.71978848350409,0.2,0.2,post_soak_recovery,do-soak-phase-5176b84137224e30018c,False,6,0.0,0.0,"[2.7755575615628914e-17,0.3903342879021653]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,6,digitalocean_public_soak_recovery_summary_v1,short_long,do-direct-soak-20260823-r1,direct_soak,complete,1.0,"[0.6096657120978346,1.0]",6,6.630492757074288,0.4658178520039655,"[0.45514485161017826,0.6425391649827361]",0.6007111209910363,request_id
do-soak-cell-19efab46a50a4494a617,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",15,,,arcee-trinity-large-thinking,8.68389914999716,"[9.06188131431766,37.55535192700336]",22.608225947208098,0.5,0.5,post_soak_recovery,do-soak-phase-96896477a2e0c75cee39,False,15,0.0,0.0,"[0.0,0.20388330103584862]",0,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,15,digitalocean_public_soak_recovery_summary_v1,short_long,do-direct-soak-20260823-r1,direct_soak,complete,1.0,"[0.7961166989641515,1.0]",15,13.727063445193354,0.6995625740091782,"[0.83038430582144,4.3935729039949365]",2.1177498761913705,request_id
do-soak-cell-653709ff412553f69739,"this exact endpoint/workload/rate and observed two-minute interval only; no duration, diurnal, or rate extrapolation",6,,,gemma-4-31B-it,1.53834114401252,"[1.5170928827233017,4.758400250022532]",4.178133057765081,0.2,0.2,post_soak_recovery,do-soak-phase-a5bfb3df4da352f8d3e1,False,6,0.033333333333333326,0.8333333333333334,"[0.43649717781352987,0.9699466302516935]",5,"[""recovery_deterministic_quality_pass_rate_below_1.0""]",phase_id,6,digitalocean_public_soak_recovery_summary_v1,mixed,do-direct-soak-20260823-r1,direct_soak,complete,1.0,"[0.6096657120978346,1.0]",6,12.0,0.5250598075072048,"[0.48278635440234136,1.091564920003293]",0.9813266597557231,request_id
