achieved_rate_denominator,aggregate_output_metric_provenance,arrival_latency_estimand,arrival_latency_p95_across_blocks,arrival_latency_p95_across_blocks_ci95_high,arrival_latency_p95_across_blocks_ci95_low,arrival_latency_p95_across_blocks_ci_method,arrival_latency_p95_across_blocks_n,arrival_latency_p95_across_blocks_unit,arrival_window_seconds_sum,blocks_n,capacity_estimand_blocks_n,capacity_estimand_state,censored_block_reasons_json,censored_blocks_n,completed_rpm,completed_rpm_ci95_high,completed_rpm_ci95_low,completed_rpm_ci_method,completed_rpm_n,completed_rpm_unit,completion_rate,completion_rate_ci95_high,completion_rate_ci95_low,completion_rate_ci_method,completion_rate_n,completion_rate_unit,early_termination_seconds_sum,elapsed_wall_seconds_sum,healthy_blocks_n,launch_rate,launch_rate_ci95_high,launch_rate_ci95_low,launch_rate_ci_method,launch_rate_n,launch_rate_unit,launched_logical_rpm,launched_logical_rpm_ci95_high,launched_logical_rpm_ci95_low,launched_logical_rpm_ci_method,launched_logical_rpm_n,launched_logical_rpm_unit,logical_requests_launched_n,observed_blocks_healthy_n,observed_requests_completed_n,observed_requests_successful_n,offered_rate_denominator,offered_rpm,offered_rpm_ci95_high,offered_rpm_ci95_low,offered_rpm_ci_method,offered_rpm_n,offered_rpm_unit,offered_rps_target,phase,physical_attempt_rpm,physical_attempt_rpm_ci95_high,physical_attempt_rpm_ci95_low,physical_attempt_rpm_ci_method,physical_attempt_rpm_n,physical_attempt_rpm_unit,physical_attempt_success_rate,physical_attempt_success_rate_ci95_high,physical_attempt_success_rate_ci95_low,physical_attempt_success_rate_ci_method,physical_attempt_success_rate_n,physical_attempt_success_rate_unit,physical_attempts_n,physical_other_outcomes_n,physical_rate_limited_n,physical_server_errors_n,physical_status_provenance,physical_successes_n,physical_timeouts_n,physical_transport_errors_n,post_arrival_drain_p50,post_arrival_drain_p50_ci95_high,post_arrival_drain_p50_ci95_low,post_arrival_drain_p50_ci_method,post_arrival_drain_p50_n,post_arrival_drain_p50_unit,post_arrival_drain_seconds_sum,quality_adjusted_rpm,quality_adjusted_rpm_ci95_high,quality_adjusted_rpm_ci95_low,quality_adjusted_rpm_ci_method,quality_adjusted_rpm_n,quality_adjusted_rpm_unit,quality_censored_blocks_n,quality_complete_blocks_n,quality_mean,quality_mean_ci95_high,quality_mean_ci95_low,quality_mean_ci_method,quality_mean_n,quality_mean_unit,quality_reporting_state,quality_verification_counts_json,raw_runner_elapsed_seconds_sum,requests_completed_n,requests_successful_n,route_id,sampling_unit,service_latency_estimand,service_latency_p95_across_blocks,service_latency_p95_across_blocks_ci95_high,service_latency_p95_across_blocks_ci95_low,service_latency_p95_across_blocks_ci_method,service_latency_p95_across_blocks_n,service_latency_p95_across_blocks_unit,shape,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_estimand,success_rate_n,success_rate_unit,successful_input_tpm,successful_input_tpm_ci95_high,successful_input_tpm_ci95_low,successful_input_tpm_ci_method,successful_input_tpm_n,successful_input_tpm_unit,successful_output_tpm,successful_output_tpm_ci95_high,successful_output_tpm_ci95_low,successful_output_tpm_ci_method,successful_output_tpm_n,successful_output_tpm_unit,successful_rpm,successful_rpm_ci95_high,successful_rpm_ci95_low,successful_rpm_ci_method,successful_rpm_n,successful_rpm_unit,tpm_censored_blocks_n,tpm_complete_blocks_n,tpm_estimand,tpm_reporting_state,ttft_estimand,ttft_p95_across_blocks,ttft_p95_across_blocks_ci95_high,ttft_p95_across_blocks_ci95_low,ttft_p95_across_blocks_ci_method,ttft_p95_across_blocks_n,ttft_p95_across_blocks_unit,unknown_outcomes_n,usage_verification_counts_json,warm_state
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,111.54794342353125,166.30735316998326,104.950098945247,epoch/block-bootstrap-percentile,3,seconds,15.0,3,3,eligible_blocks_only,{},0,4.725116287510351,8.305450100199652,2.8171616176171344,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,0.0,393.64110570494086,3,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,4.725116287510351,8.305450100199652,2.8171616176171344,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,31,3,31,31,scheduled-arrival window,124.0,192.0,84.0,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,2.0,confirmation,4.725116287510351,8.305450100199652,2.8171616176171344,epoch/block-bootstrap-ratio-of-sums,3,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,31,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",31,0,0,110.58675188198686,165.38426088099368,102.67009294196032,epoch/block-bootstrap-percentile,3,seconds,378.64110570494086,2.2863465907308154,3.114543787574869,1.760726011010709,epoch/block-bootstrap-ratio-of-sums,3,quality-weighted successful tasks/minute,0,3,0.4838709677419355,0.625,0.375,epoch/block-bootstrap-ratio-of-sums,3,proportion,complete,"{""request_ledger_join"":3}",393.64110570494086,31,31,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,111.54077418154338,166.29681919454015,104.93539901729673,epoch/block-bootstrap-percentile,3,seconds,mixed,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",3,proportion,138809.89360129763,168751.0385060618,106473.91904743519,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,3835.5750406100155,9385.677703856869,1434.2874085693236,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,4.725116287510351,8.305450100199652,2.8171616176171344,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,0,3,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,99.67041185125709,156.38023373524774,83.07400533870091,epoch/block-bootstrap-percentile,3,seconds,0,"{""request_ledger_join"":3}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,76.1057669626316,79.44763884774875,72.76389507751446,epoch/block-bootstrap-percentile,2,seconds,10.0,2,2,eligible_blocks_only,{},0,3.5758530362683123,3.6603101763452908,3.49520548322693,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,0.0,167.79213069286197,2,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,3.5758530362683123,3.6603101763452908,3.49520548322693,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,10,2,10,10,scheduled-arrival window,60.0,60.0,60.0,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,confirmation_separator,3.5758530362683123,3.6603101763452908,3.49520548322693,epoch/block-bootstrap-ratio-of-sums,2,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,10,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",10,0,0,78.89606534643099,80.83186351694167,76.96026717592031,epoch/block-bootstrap-percentile,2,seconds,157.79213069286197,1.430341214507325,1.4641240705381162,1.398082193290772,epoch/block-bootstrap-ratio-of-sums,2,quality-weighted successful tasks/minute,0,2,0.4,0.4,0.4,epoch/block-bootstrap-ratio-of-sums,2,proportion,complete,"{""request_ledger_join"":2}",167.79213069286197,10,10,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,76.09698011830915,79.440605555824,72.75335468079429,epoch/block-bootstrap-percentile,2,seconds,mixed,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",2,proportion,37270.758611720994,71295.90048795956,1638.354834932152,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,3118.5014329295955,3220.4823322452935,3011.703213096905,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,3.5758530362683123,3.6603101763452908,3.49520548322693,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0,2,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,20.760533668531565,39.780880193226025,1.7401871438371017,epoch/block-bootstrap-percentile,2,seconds,0,"{""request_ledger_join"":2}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,52.778814614750445,,,single-block-no-CI,1,seconds,5.0,2,1,eligible_blocks_only,"{""zero_scheduled_poisson_arrivals"":1}",1,1.1127335585915816,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,53.921264022937976,1,1.0,,,single-block-no-CI,1,proportion,1.1127335585915816,,,single-block-no-CI,1,requests/minute,1,1,1,1,scheduled-arrival window,12.0,,,single-block-no-CI,1,requests/minute,0.25,aimd,1.1127335585915816,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,1,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",1,0,0,48.921264022937976,,,single-block-no-CI,1,seconds,48.921264022937976,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",53.921264022937976,1,1,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,52.76989659795072,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,336.04553469465765,,,single-block-no-CI,1,tokens/minute,2555.9489840848632,,,single-block-no-CI,1,tokens/minute,1.1127335585915816,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,1.3157684119651094,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,47.03138204466086,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,1.244269442969417,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,48.2210668589687,1,1.0,,,single-block-no-CI,1,proportion,1.244269442969417,,,single-block-no-CI,1,requests/minute,1,1,1,1,scheduled-arrival window,12.0,,,single-block-no-CI,1,requests/minute,0.5,aimd,1.244269442969417,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,1,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",1,0,0,43.2210668589687,,,single-block-no-CI,1,seconds,43.2210668589687,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",48.2210668589687,1,1,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,47.02305218798574,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,374.52510233379456,,,single-block-no-CI,1,tokens/minute,2603.0116746920207,,,single-block-no-CI,1,tokens/minute,1.244269442969417,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.6846610360080376,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,78.43975501691456,79.87866594189254,52.067927925119875,epoch/block-bootstrap-percentile,6,seconds,30.0,6,6,eligible_blocks_only,{},0,4.564728488057382,5.732377878984577,3.3576812179777815,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,0.0,446.9050032958621,6,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,4.564728488057382,5.732377878984577,3.3576812179777815,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,34,6,34,34,scheduled-arrival window,68.0,90.0,42.0,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,1.0,aimd,4.564728488057382,5.732377878984577,3.3576812179777815,epoch/block-bootstrap-ratio-of-sums,6,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,34,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",34,0,0,82.43101168295834,85.36318293795921,51.20813927997369,epoch/block-bootstrap-percentile,6,seconds,416.9050032958621,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,6,quality-weighted successful tasks/minute,0,6,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,complete,"{""request_ledger_join"":6}",446.9050032958621,34,34,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,78.43262891659978,79.71074878208455,52.0602126410231,epoch/block-bootstrap-percentile,6,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",6,proportion,1376.8026660302487,1728.242023466545,1013.0603903384392,epoch/block-bootstrap-ratio-of-sums,6,tokens/minute,9882.905690084706,12716.07639668373,6954.877029504645,epoch/block-bootstrap-ratio-of-sums,6,tokens/minute,4.564728488057382,5.732377878984577,3.3576812179777815,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,0,6,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,1.45307893079007,1.5755937315872868,0.7235825262905564,epoch/block-bootstrap-percentile,6,seconds,0,"{""request_ledger_join"":6}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,88.743547496642,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,11.4138519567071,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,105.13540954899509,1,1.0,,,single-block-no-CI,1,proportion,11.4138519567071,,,single-block-no-CI,1,requests/minute,20,1,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,11.4138519567071,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,85.13540954899509,,,single-block-no-CI,1,seconds,85.13540954899509,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",105.13540954899509,20,20,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,88.7368312700477,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,3444.1298279363677,,,single-block-no-CI,1,tokens/minute,24366.861849776156,,,single-block-no-CI,1,tokens/minute,11.4138519567071,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,1.5357131343160295,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,108.66544423785525,145.2429742384702,76.40377237027278,epoch/block-bootstrap-percentile,3,seconds,15.0,3,3,eligible_blocks_only,{},0,2.998190828542467,5.107659565975497,1.0286811368215507,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,0.0,400.2413684199564,3,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,2.998190828542467,5.107659565975497,1.0286811368215507,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,20,3,20,20,scheduled-arrival window,80.0,132.0,24.0,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,confirmation,2.998190828542467,5.107659565975497,1.0286811368215507,epoch/block-bootstrap-ratio-of-sums,3,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,111.65422423393466,196.35770140995737,77.22944277606439,epoch/block-bootstrap-percentile,3,seconds,385.2413684199564,0.14990954142712337,0.7296656522822138,0.0,epoch/block-bootstrap-ratio-of-sums,3,quality-weighted successful tasks/minute,0,3,0.05,0.14285714285714285,0.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,complete,"{""request_ledger_join"":3}",400.2413684199564,20,20,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,108.65705996790784,145.2361411380116,76.39676857349696,epoch/block-bootstrap-percentile,3,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",3,proportion,905.0039015955438,1538.1351950109067,310.66170332010836,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,6564.688728635159,11324.410923419959,2263.098501007412,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,2.998190828542467,5.107659565975497,1.0286811368215507,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,0,3,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,1.3814263274543919,1.7323970905796158,1.3566150421858758,epoch/block-bootstrap-percentile,3,seconds,0,"{""request_ledger_join"":3}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,84.66609169529983,85.9692170847673,83.36296630583237,epoch/block-bootstrap-percentile,2,seconds,10.0,2,2,eligible_blocks_only,{},0,3.169118468981281,3.1718672626066517,3.1663744355324237,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,0.0,189.3270970690064,2,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,3.169118468981281,3.1718672626066517,3.1663744355324237,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,10,2,10,10,scheduled-arrival window,60.0,60.0,60.0,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,confirmation_separator,3.169118468981281,3.1718672626066517,3.1663744355324237,epoch/block-bootstrap-ratio-of-sums,2,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,10,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",10,0,0,89.6635485345032,89.74558556103148,89.58151150797494,epoch/block-bootstrap-percentile,2,seconds,179.3270970690064,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,quality-weighted successful tasks/minute,0,2,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,complete,"{""request_ledger_join"":2}",189.3270970690064,10,10,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,84.65840459709287,85.96057715776841,83.35623203641734,epoch/block-bootstrap-percentile,2,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",2,proportion,954.85539470406,954.9785297565791,954.7320460446022,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,7110.868020700199,7184.279349804066,7037.583820414365,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,3.169118468981281,3.1718672626066517,3.1663744355324237,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0,2,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,1.3702366412966511,1.5103608661796897,1.2301124164136126,epoch/block-bootstrap-percentile,2,seconds,0,"{""request_ledger_join"":2}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,0.7747393858153373,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,11.45440302526303,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,5.238160370965488,1,1.0,,,single-block-no-CI,1,proportion,11.45440302526303,,,single-block-no-CI,1,requests/minute,1,1,1,1,scheduled-arrival window,12.0,,,single-block-no-CI,1,requests/minute,0.25,aimd,11.45440302526303,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,1,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",1,0,0,0.23816037096548826,,,single-block-no-CI,1,seconds,0.23816037096548826,11.45440302526303,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,1.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",5.238160370965488,1,1,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,0.7600371249718592,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,3321.7768773262783,,,single-block-no-CI,1,tokens/minute,68.72641815157817,,,single-block-no-CI,1,tokens/minute,11.45440302526303,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.5380468810908496,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,0.6075559929187875,0.6620358964777551,0.5530760893598199,epoch/block-bootstrap-percentile,2,seconds,10.0,2,2,eligible_blocks_only,{},0,23.255216157299802,33.84747252392601,11.994504933625633,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,0.0,10.32026528485585,2,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,23.255216157299802,33.84747252392601,11.994504933625633,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,4,2,4,4,scheduled-arrival window,24.0,36.0,12.0,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0.5,aimd,23.255216157299802,33.84747252392601,11.994504933625633,epoch/block-bootstrap-ratio-of-sums,2,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,4,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",4,0,0,0.16013264242792502,0.31797462492249906,0.0022906599333509803,epoch/block-bootstrap-percentile,2,seconds,0.32026528485585004,23.255216157299802,33.84747252392601,11.994504933625633,epoch/block-bootstrap-ratio-of-sums,2,quality-weighted successful tasks/minute,0,2,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,complete,"{""request_ledger_join"":2}",10.32026528485585,4,4,gemma-4-31B-it,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,0.5947652476315852,0.6466183491866104,0.54291214607656,epoch/block-bootstrap-percentile,2,seconds,short_short,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",2,proportion,6714.943665420317,9759.354577732,3478.4064307514336,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,139.53129694379882,203.08483514355603,71.9670296017538,epoch/block-bootstrap-ratio-of-sums,2,tokens/minute,23.255216157299802,33.84747252392601,11.994504933625633,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,0,2,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,0.4415068986534607,0.46757729033706713,0.41543650696985424,epoch/block-bootstrap-percentile,2,seconds,0,"{""request_ledger_join"":2}",uncontrolled_not_paired
