attempted_n,cache_read_tokens_reported_n,cache_read_tokens_sum,cache_stratum,completion_tokens_sum,elapsed_hours,eligible_output_rate_median,eligible_output_rate_median_ci95_high,eligible_output_rate_median_ci95_low,eligible_output_rate_median_ci_method,eligible_output_rate_median_n,eligible_output_rate_median_unit,eligible_output_rate_n,mixed_subtype,output_rate_eligibility_rule,panel,panel_started_at_utc,prompt_tokens_sum,request_latency_median,request_latency_median_ci95_high,request_latency_median_ci95_low,request_latency_median_ci_method,request_latency_median_n,request_latency_median_unit,request_latency_p95,request_latency_p95_ci95_high,request_latency_p95_ci95_low,request_latency_p95_ci_method,request_latency_p95_n,request_latency_p95_unit,route_id,settled_cost_reported_n,settled_cost_usd_sum,shape,status_counts,success_n,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_n,success_rate_unit,ttft_median,ttft_median_ci95_high,ttft_median_ci95_low,ttft_median_ci_method,ttft_median_n,ttft_median_unit,ttft_p95,ttft_p95_ci95_high,ttft_p95_ci95_low,ttft_p95_ci_method,ttft_p95_n,ttft_p95_unit,usage_eligible_n
2,2,0,panel_unique_cold,22,4.999881140833334,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",5,2026-08-29T01:21:23.069512Z,200006,7.615240947983693,8.854122165008448,6.376359730958939,request-bootstrap-percentile,2,seconds,8.730234043305972,8.854122165008448,6.376359730958939,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016006024,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,7.450584732519928,8.761460758978501,6.139708706061356,request-bootstrap-percentile,2,seconds,8.630373156332643,8.761460758978501,6.139708706061356,request-bootstrap-percentile,2,seconds,2
2,2,0,stable_exact_prompt,24,4.999881140833334,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",5,2026-08-29T01:21:23.069512Z,199995,8.315651291050017,9.79073990508914,6.840562677010894,request-bootstrap-percentile,2,seconds,9.643231043685228,9.79073990508914,6.840562677010894,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016005648,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,6.735894435958471,6.879482328891754,6.592306543025188,request-bootstrap-percentile,2,seconds,6.865123539598425,6.879482328891754,6.592306543025188,request-bootstrap-percentile,2,seconds,2
2,2,0,panel_unique_cold,32,5.999885293888889,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",6,2026-08-29T02:21:23.084463Z,200007,7.433344850025605,8.379934465046972,6.486755235004239,request-bootstrap-percentile,2,seconds,8.285275503544836,8.379934465046972,6.486755235004239,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.016008624,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,7.169508657010738,8.103783583967015,6.2352337300544605,request-bootstrap-percentile,2,seconds,8.010356091271387,8.103783583967015,6.2352337300544605,request-bootstrap-percentile,2,seconds,2
2,1,0,stable_exact_prompt,16,5.999885293888889,,,,request-bootstrap-percentile,0,tokens/second,0,not_applicable,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",6,2026-08-29T02:21:23.084463Z,99998,5.055772184510715,6.998119437019341,3.11342493200209,request-bootstrap-percentile,2,seconds,6.803884711768478,6.998119437019341,3.11342493200209,request-bootstrap-percentile,2,seconds,deepseek-v4-flash-0731,2,0.04682292800000001,long_short,"{""success"":2}",2,1.0,1.0,0.34238022750665303,Wilson-95,2,proportion,4.003480859508272,6.718792186002247,1.2881695330142975,request-bootstrap-percentile,2,seconds,6.447261053352849,6.718792186002247,1.2881695330142975,request-bootstrap-percentile,2,seconds,1
1,1,0,panel_unique_cold,26,0.0,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,100000,6.693213838967495,,,single-observation-no-CI,1,seconds,6.693213838967495,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008006552,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.263105411897413,,,single-observation-no-CI,1,seconds,6.263105411897413,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,16,0.0,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,99996,6.486960535985418,,,single-observation-no-CI,1,seconds,6.486960535985418,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008003712,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.21480805799365,,,single-observation-no-CI,1,seconds,6.21480805799365,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,128,0.9998810324999999,53.60518701288661,,,single-observation-no-CI,1,tokens/second,1,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",1,2026-08-28T21:21:23.069122Z,100005,8.822777140070684,,,single-observation-no-CI,1,seconds,8.822777140070684,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008032656,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.434948515030555,,,single-observation-no-CI,1,seconds,6.434948515030555,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,13,0.9998810324999999,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",1,2026-08-28T21:21:23.069122Z,99996,6.192220324999653,,,single-observation-no-CI,1,seconds,6.192220324999653,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008002956,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,5.96215627505444,,,single-observation-no-CI,1,seconds,5.96215627505444,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,16,1.999869483611111,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",2,2026-08-28T22:21:23.027546Z,99998,6.958346871077083,,,single-observation-no-CI,1,seconds,6.958346871077083,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008003872,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.7042631870135665,,,single-observation-no-CI,1,seconds,6.7042631870135665,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,7,1.999869483611111,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",2,2026-08-28T22:21:23.027546Z,99996,6.922216572915204,,,single-observation-no-CI,1,seconds,6.922216572915204,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008001444,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.72044156701304,,,single-observation-no-CI,1,seconds,6.72044156701304,,,single-observation-no-CI,1,seconds,1
